Brand,Price,Transmisson,Make Year,Mileage,Engine,Fuel,Kilometer Run
Hyundai,2487500.0,Manual-2WD,2015.0,14.0,1400.0,Petrol,42000.0
Hyundai,750000.0,Auto-2WD,2005.0,11.0,1399.0,Petrol,87412.0
Tata,700000.0,Manual-2WD,2013.0,,2956.0,Diesel,60000.0
Mahindra,600000.0,Manual-4WD,2017.0,,,Diesel,
Tata,1400000.0,Manual-2WD,2014.0,12.0,2956.0,Diesel,
Tata,700000.0,Auto-2WD,2019.0,15.0,889.0,Petrol,80000.0
Maruti Suzuki,580000.0,Manual-2WD,2004.0,,800.0,Petrol,75000.0
Hyundai,1845000.0,Manual-2WD,2014.0,,1200.0,Petrol,31000.0
Maruti Suzuki,2050000.0,Auto-4WD,2016.0,17.0,1200.0,Petrol,41000.0
Maruti Suzuki,1025000.0,Manual-2WD,2008.0,20.0,,Petrol,43000.0
Hyundai,1350000.0,Manual-4WD,2010.0,,1100.0,Petrol,4200.0
Mahindra,1250000.0,Manual-2WD,2018.0,,,Diesel,
Kia,3250000.0,Manual-4WD,2011.0,,,Diesel,
Mahindra,1950000.0,Manual-4WD,2015.0,,2500.0,Diesel,65000.0
Mahindra,3200000.0,Manual-2WD,2019.0,15.0,2100.0,Electric,61000.0
Hyundai,2500000.0,Manual-2WD,2015.0,14.0,1400.0,Diesel,42000.0
Other Brands,5100000.0,Manual-4WD,2019.0,,2499.0,Diesel,51000.0
Other Chinese Brands,5300000.0,Auto-2WD,2021.0,,2110.5000000000005,Electric,12200.0
Kia,5800000.0,Auto-2WD,2019.0,,,Electric,9000.0
Hyundai,1350000.0,Manual-2WD,2010.0,,,Petrol,
Hyundai,2350000.0,Manual-2WD,2017.0,14.0,1197.0,Petrol,7000.0
Hyundai,1850000.0,Manual-2WD,2014.0,14.0,1200.0,Petrol,45000.0
Kia,1430000.0,Manual-2WD,2011.0,18.0,1399.0,Petrol,59000.0
Hyundai,2600000.0,Manual-2WD,2019.0,13.0,1200.0,Petrol,18300.0
Hyundai,3750000.0,Manual-2WD,2017.0,21.0,1582.0,Diesel,42000.0
Tata,1780000.0,Manual-2WD,2017.0,,1193.0,Petrol,
Hyundai,1360000.0,Manual-2WD,2010.0,15.0,1100.0,Petrol,53000.0
Tata,950000.0,Auto-2WD,2013.0,10.0,1400.0,Petrol,
Maruti Suzuki,2650000.0,Manual-2WD,2017.0,18.0,1200.0,Petrol,29000.0
Toyota,7850000.0,Manual-4WD,2018.0,12.0,2800.0,Diesel,42000.0
Datsun,1275000.0,Manual-2WD,2016.0,16.0,1200.0,Petrol,48000.0
Nissan,2400000.0,Manual-4WD,2010.0,10.0,2500.0,Diesel,75000.0
Hyundai,1300000.0,Auto-2WD,2009.0,18.0,1086.0,Petrol,80000.0
Ford,2950000.0,Manual-2WD,2017.0,17.0,1500.0,Petrol,26000.0
Fiat,1550077.0,Manual-2WD,2016.0,,1368.0,Petrol,57000.0
Hyundai,3525000.0,Manual-2WD,2021.0,18.0,1200.0,Petrol,13750.0
Mahindra,3450000.0,Auto-4WD,2016.0,,,Diesel,750840.0
Ford,550000.0,Manual-2WD,2003.0,15.0,1299.0,Petrol,52000.0
Ford,1500000.0,Manual-2WD,2016.0,14.0,1200.0,Petrol,70000.0
Hyundai,640000.0,Manual-2WD,2002.0,,1086.0,Petrol,
Kia,3250000.0,Manual-4WD,2011.0,13.0,2000.0,Diesel,67000.0
Nissan,550000.0,Auto-2WD,1997.0,,,Diesel,
Nissan,3399000.0,Manual-2WD,2023.0,,999.0,Petrol,
Chevrolet,575000.0,Manual-2WD,2007.0,12.0,,Petrol,
Hyundai,2850000.0,Manual-2WD,2017.0,,,Petrol,38000.0
Maruti Suzuki,1050000.0,Manual-2WD,2010.0,15.0,1086.0,Petrol,75000.0
Hyundai,1050000.0,Manual-2WD,2007.0,14.0,1086.0,Petrol,71000.0
Maruti Suzuki,749000.0,Manual-4WD,2006.0,16.0,1000.0,Petrol,74000.0
Hyundai,4300000.0,Manual-2WD,2019.0,14.0,1600.0,Petrol,24000.0
Maruti Suzuki,895000.0,Manual-2WD,2009.0,,,Petrol,
